seriesId,date,screen,views
top-gear,20200101,tv,2
family-guy,20200101,tv,27
family-guy,20200101,tablet,14
top-gear,20200101,mobile,5
family-guy,20200101,mobile,20
top-gear,20200101,tv,15
family-guy,20200101,desktop,62
top-gear,20200101,desktop,33
family-guy,20200101,tv,62
top-gear,20200101,tablet,9
family-guy,20200102,desktop,105
top-gear,20200102,desktop,29
top-gear,20200102,tv,17
family-guy,20200102,tablet,16
family-guy,20200102,tv,89
top-gear,20200102,tv,1
family-guy,20200102,tv,30
family-guy,20200102,mobile,19
top-gear,20200102,tablet,10
top-gear,20200102,mobile,21
family-guy,20200103,desktop,111
top-gear,20200103,mobile,18
family-guy,20200103,tv,52
top-gear,20200103,tablet,5
family-guy,20200103,mobile,28
family-guy,20200103,tv,30
top-gear,20200103,tv,9
top-gear,20200103,tv,9
top-gear,20200103,desktop,34
family-guy,20200103,tablet,27
top-gear,20200104,tv,16
family-guy,20200104,tv,16
top-gear,20200104,mobile,9
family-guy,20200104,tv,49
top-gear,20200104,tv,2
top-gear,20200104,desktop,16
family-guy,20200104,desktop,106
family-guy,20200104,mobile,17
family-guy,20200104,tablet,17
top-gear,20200105,tv,8
top-gear,20200105,tv,35
family-guy,20200105,mobile,14
family-guy,20200105,tv,1
top-gear,20200105,mobile,7
family-guy,20200105,tv,31
family-guy,20200105,desktop,87
family-guy,20200105,tablet,28
family-guy,20200105,tv,34
top-gear,20200105,desktop,21
top-gear,20200105,tablet,1
top-gear,20200106,tv,10
top-gear,20200106,desktop,6
top-gear,20200106,tv,15
family-guy,20200106,mobile,20
family-guy,20200106,tv,68
family-guy,20200106,tv,30
top-gear,20200106,tablet,11
family-guy,20200106,tablet,20
top-gear,20200106,mobile,7
family-guy,20200106,desktop,61
top-gear,20200107,tablet,6
top-gear,20200107,desktop,21
top-gear,20200107,tv,3
top-gear,20200107,mobile,2
family-guy,20200107,desktop,94
family-guy,20200107,tv,37
family-guy,20200107,tablet,18
family-guy,20200107,mobile,14
family-guy,20200107,tv,56
top-gear,20200107,tv,11
top-gear,20200108,desktop,65
top-gear,20200108,tablet,3
family-guy,20200108,mobile,20
family-guy,20200108,desktop,245
top-gear,20200108,tv,24
top-gear,20200108,mobile,38
family-guy,20200108,tv,188
top-gear,20200108,tv,3
family-guy,20200108,tv,133
family-guy,20200108,tablet,32
top-gear,20200109,tv,3
family-guy,20200109,mobile,26
family-guy,20200109,tablet,59
family-guy,20200109,tv,211
family-guy,20200109,tv,176
family-guy,20200109,desktop,305
top-gear,20200109,tablet,838
top-gear,20200109,mobile,905
top-gear,20200109,tv,2815
top-gear,20200109,desktop,3292
top-gear,20200109,tv,1438
family-guy,20200110,mobile,21
top-gear,20200110,tv,3803
family-guy,20200110,tv,46
top-gear,20200110,tv,11
top-gear,20200110,desktop,6232
top-gear,20200110,tablet,1503
family-guy,20200110,desktop,151
family-guy,20200110,tablet,39
top-gear,20200110,tv,2057
top-gear,20200110,mobile,2122
family-guy,20200110,tv,64
top-gear,20200111,tv,5302
family-guy,20200111,tablet,14
family-guy,20200111,tv,70
top-gear,20200111,tv,14
top-gear,20200111,mobile,1823
family-guy,20200111,desktop,124
family-guy,20200111,mobile,15
family-guy,20200111,tv,28
top-gear,20200111,tablet,1434
top-gear,20200111,tv,2864
